year,number_countries_in_panel,number_countries_with_default_data,gdp_growth_nonmissing,gdp_growth_share_missing,inflation_nonmissing,inflation_share_missing,current_account_gdp_nonmissing,current_account_gdp_share_missing,external_debt_gni_nonmissing,external_debt_gni_share_missing,debt_service_exports_nonmissing,debt_service_exports_share_missing,reserves_usd_nonmissing,reserves_usd_share_missing,exchange_rate_nonmissing,exchange_rate_share_missing,gdp_current_usd_nonmissing,gdp_current_usd_share_missing,central_gov_debt_gdp_nonmissing,central_gov_debt_gdp_share_missing,total_missing_macro_values,share_all_macro_cells_missing
1979,166,124,112,0.32530120481927716,77,0.536144578313253,85,0.4879518072289156,73,0.5602409638554218,70,0.5783132530120482,97,0.4156626506024096,124,0.2530120481927711,113,0.3192771084337349,0,1.0,743,0.49732262382864795
1980,166,126,113,0.3192771084337349,79,0.5240963855421688,94,0.4337349397590361,77,0.536144578313253,73,0.5602409638554218,99,0.4036144578313253,124,0.2530120481927711,123,0.25903614457831325,0,1.0,712,0.47657295850066933
1981,166,127,122,0.2650602409638554,86,0.4819277108433735,96,0.42168674698795183,85,0.4879518072289156,78,0.5301204819277108,100,0.3975903614457831,124,0.2530120481927711,123,0.25903614457831325,0,1.0,680,0.45515394912985274
1982,166,127,124,0.2530120481927711,86,0.4819277108433735,100,0.3975903614457831,85,0.4879518072289156,81,0.5120481927710843,101,0.39156626506024095,124,0.2530120481927711,123,0.25903614457831325,0,1.0,670,0.4484605087014726
1983,166,128,125,0.24698795180722888,86,0.4819277108433735,100,0.3975903614457831,85,0.4879518072289156,81,0.5120481927710843,101,0.39156626506024095,125,0.24698795180722888,123,0.25903614457831325,0,1.0,668,0.44712182061579653
1984,166,128,125,0.24698795180722888,89,0.463855421686747,102,0.3855421686746988,86,0.4819277108433735,84,0.49397590361445787,104,0.37349397590361444,124,0.2530120481927711,124,0.2530120481927711,0,1.0,656,0.4390896921017403
1985,166,128,127,0.2349397590361446,90,0.45783132530120485,104,0.37349397590361444,87,0.47590361445783136,86,0.4819277108433735,104,0.37349397590361444,124,0.2530120481927711,126,0.24096385542168675,0,1.0,646,0.4323962516733601
1986,166,128,128,0.22891566265060237,96,0.42168674698795183,105,0.3674698795180723,87,0.47590361445783136,86,0.4819277108433735,105,0.3674698795180723,126,0.24096385542168675,126,0.24096385542168675,0,1.0,635,0.4250334672021419
1987,166,129,130,0.2168674698795181,99,0.4036144578313253,107,0.35542168674698793,87,0.47590361445783136,86,0.4819277108433735,106,0.3614457831325302,126,0.24096385542168675,132,0.20481927710843373,0,1.0,621,0.41566265060240964
1988,166,129,133,0.1987951807228916,99,0.4036144578313253,106,0.3614457831325302,87,0.47590361445783136,85,0.4879518072289156,107,0.35542168674698793,126,0.24096385542168675,134,0.19277108433734935,0,1.0,617,0.41298527443105754
1989,166,129,134,0.19277108433734935,101,0.39156626506024095,106,0.3614457831325302,90,0.45783132530120485,86,0.4819277108433735,107,0.35542168674698793,126,0.24096385542168675,134,0.19277108433734935,0,1.0,610,0.40829986613119146
1990,166,132,135,0.18674698795180722,101,0.39156626506024095,108,0.3493975903614458,92,0.4457831325301205,86,0.4819277108433735,106,0.3614457831325302,126,0.24096385542168675,149,0.10240963855421692,34,0.7951807228915663,557,0.3728246318607764
1991,166,143,151,0.09036144578313254,105,0.3674698795180723,108,0.3493975903614458,95,0.42771084337349397,87,0.47590361445783136,110,0.3373493975903614,128,0.22891566265060237,150,0.09638554216867468,35,0.7891566265060241,525,0.3514056224899598
1992,166,149,151,0.09036144578313254,112,0.32530120481927716,110,0.3373493975903614,103,0.37951807228915657,88,0.4698795180722891,115,0.30722891566265065,135,0.18674698795180722,151,0.09036144578313254,37,0.7771084337349398,492,0.3293172690763052
1993,166,151,152,0.08433734939759041,117,0.29518072289156627,116,0.3012048192771084,109,0.34337349397590367,91,0.4518072289156626,127,0.2349397590361446,140,0.15662650602409633,151,0.09036144578313254,39,0.7650602409638554,452,0.30254350736278446
1994,166,151,152,0.08433734939759041,120,0.27710843373493976,119,0.2831325301204819,111,0.3313253012048193,94,0.4337349397590361,128,0.22891566265060237,144,0.1325301204819277,152,0.08433734939759041,41,0.7530120481927711,433,0.2898259705488621
1995,166,151,153,0.07831325301204817,124,0.2530120481927711,120,0.27710843373493976,111,0.3313253012048193,93,0.43975903614457834,134,0.19277108433734935,146,0.12048192771084343,155,0.0662650602409639,38,0.7710843373493976,420,0.28112449799196787
1996,166,151,154,0.07228915662650603,127,0.2349397590361446,121,0.27108433734939763,111,0.3313253012048193,94,0.4337349397590361,134,0.19277108433734935,148,0.10843373493975905,155,0.0662650602409639,36,0.7831325301204819,414,0.27710843373493976
1997,166,151,154,0.07228915662650603,127,0.2349397590361446,123,0.25903614457831325,112,0.32530120481927716,98,0.40963855421686746,136,0.1807228915662651,150,0.09638554216867468,156,0.06024096385542166,36,0.7831325301204819,402,0.26907630522088355
1998,166,151,155,0.0662650602409639,127,0.2349397590361446,121,0.27108433734939763,112,0.32530120481927716,95,0.42771084337349397,136,0.1807228915662651,150,0.09638554216867468,156,0.06024096385542166,40,0.7590361445783133,402,0.26907630522088355
1999,166,151,155,0.0662650602409639,129,0.22289156626506024,121,0.27108433734939763,113,0.3192771084337349,95,0.42771084337349397,137,0.17469879518072284,151,0.09036144578313254,156,0.06024096385542166,39,0.7650602409638554,398,0.26639892904953144
2000,166,151,155,0.0662650602409639,132,0.20481927710843373,120,0.27710843373493976,113,0.3192771084337349,93,0.43975903614457834,136,0.1807228915662651,152,0.08433734939759041,158,0.048192771084337394,33,0.8012048192771084,402,0.26907630522088355
2001,166,151,157,0.054216867469879526,136,0.1807228915662651,121,0.27108433734939763,113,0.3192771084337349,94,0.4337349397590361,136,0.1807228915662651,151,0.09036144578313254,158,0.048192771084337394,28,0.8313253012048193,400,0.2677376171352075
2002,166,151,157,0.054216867469879526,138,0.1686746987951807,123,0.25903614457831325,113,0.3192771084337349,96,0.42168674698795183,136,0.1807228915662651,151,0.09036144578313254,158,0.048192771084337394,29,0.8253012048192772,393,0.26305220883534136
2003,166,152,157,0.054216867469879526,140,0.15662650602409633,125,0.24698795180722888,113,0.3192771084337349,98,0.40963855421686746,136,0.1807228915662651,150,0.09638554216867468,158,0.048192771084337394,26,0.8433734939759037,391,0.2617135207496653
2004,166,152,157,0.054216867469879526,140,0.15662650602409633,127,0.2349397590361446,113,0.3192771084337349,100,0.3975903614457831,136,0.1807228915662651,150,0.09638554216867468,158,0.048192771084337394,23,0.8614457831325302,390,0.26104417670682734
